timestamp,airpressure,beam,dayofweek,hourofday,mHz
2023-06-01 00:00:00,1014,SpotH7,3,0,277.0
2023-06-01 00:10:00,1035,SpotH7,3,0,292.0
2023-06-01 00:20:00,1007,SpotH7,3,0,281.0
2023-06-01 00:30:00,1046,SpotH7,3,0,285.0
2023-06-01 00:40:00,1005,SpotH7,3,0,274.0
2023-06-01 00:50:00,1002,SpotH7,3,0,283.0
2023-06-01 01:00:00,1018,SpotH7,3,1,405.0
2023-06-01 01:10:00,1022,SpotH7,3,1,417.0
2023-06-01 01:20:00,1018,SpotH7,3,1,
2023-06-01 01:30:00,1012,SpotH7,3,1,
2023-06-01 01:40:00,1028,SpotH7,3,1,
2023-06-01 01:50:00,1005,SpotH7,3,1,
2023-06-01 02:00:00,1005,SpotH7,3,2,
2023-06-01 02:10:00,1007,SpotH7,3,2,
2023-06-01 02:20:00,1044,SpotH7,3,2,
2023-06-01 02:30:00,1013,SpotH7,3,2,
2023-06-01 02:40:00,1002,SpotH7,3,2,
2023-06-01 02:50:00,1027,SpotH7,3,2,
2023-06-01 03:00:00,1011,SpotH7,3,3,
2023-06-01 03:10:00,1040,SpotH7,3,3,
2023-06-01 03:20:00,1049,SpotH7,3,3,
2023-06-01 03:30:00,1032,SpotH7,3,3,
2023-06-01 03:40:00,1036,SpotH7,3,3,
2023-06-01 03:50:00,1039,SpotH7,3,3,
2023-06-01 04:00:00,1006,SpotH7,3,4,
2023-06-01 04:10:00,1017,SpotH7,3,4,
2023-06-01 04:20:00,1035,SpotH7,3,4,
2023-06-01 04:30:00,1002,SpotH7,3,4,
2023-06-01 04:40:00,1009,SpotH7,3,4,
2023-06-01 04:50:00,1045,SpotH7,3,4,
2023-06-01 05:00:00,1017,SpotH7,3,5,
2023-06-01 05:10:00,1001,SpotH7,3,5,
2023-06-01 05:20:00,1002,SpotH7,3,5,
2023-06-01 05:30:00,1027,SpotH7,3,5,
2023-06-01 05:40:00,1045,SpotH7,3,5,
2023-06-01 05:50:00,1024,SpotH7,3,5,
2023-06-01 06:00:00,1046,SpotH7,3,6,
2023-06-01 06:10:00,1046,SpotH7,3,6,
2023-06-01 06:20:00,1023,SpotH7,3,6,
2023-06-01 06:30:00,1048,SpotH7,3,6,
2023-06-01 06:40:00,1050,SpotH7,3,6,
2023-06-01 06:50:00,1011,SpotH7,3,6,
2023-06-01 07:00:00,1006,SpotH7,3,7,
2023-06-01 07:10:00,1011,SpotH7,3,7,
2023-06-01 07:20:00,1043,SpotH7,3,7,
2023-06-01 07:30:00,1050,SpotH7,3,7,
2023-06-01 07:40:00,1016,SpotH7,3,7,
2023-06-01 07:50:00,1002,SpotH7,3,7,
2023-06-01 08:00:00,1007,SpotH7,3,8,
2023-06-01 08:10:00,1024,SpotH7,3,8,
2023-06-01 08:20:00,1049,SpotH7,3,8,
2023-06-01 08:30:00,1004,SpotH7,3,8,
2023-06-01 08:40:00,1027,SpotH7,3,8,
2023-06-01 08:50:00,1028,SpotH7,3,8,
2023-06-01 09:00:00,1037,SpotH7,3,9,
2023-06-01 09:10:00,1048,SpotH7,3,9,
2023-06-01 09:20:00,1046,SpotH7,3,9,
2023-06-01 09:30:00,1037,SpotH7,3,9,
2023-06-01 09:40:00,1049,SpotH7,3,9,
2023-06-01 09:50:00,1046,SpotH7,3,9,
